#     t_0 (HJD)       u_0    t_E (d)     rho 
# 2458310.77700  0.006689    15.8860 0.00010 
# 
# Data are perfect.
2.458311398626086768e+06 1.355639833613786571e+01 5.428681023790647014e-02
2.458311409252173733e+06 1.357406418967023853e+01 5.428681023790647014e-02
2.458311419878260698e+06 1.359144773122189065e+01 5.428681023790647014e-02
2.458311430504347663e+06 1.360855745637008241e+01 5.428681023790647014e-02
2.458311441130434629e+06 1.362540149487243646e+01 5.428681023790647014e-02
2.458311451756521594e+06 1.364198763056489128e+01 5.428681023790647014e-02
2.458311462382608559e+06 1.365832331999208549e+01 5.428681023790647014e-02
2.458311473008695524e+06 1.367441570985902644e+01 5.428681023790647014e-02
2.458311483634782489e+06 1.369027165338650676e+01 5.428681023790647014e-02
2.458311494260869455e+06 1.370589772564679976e+01 5.428681023790647014e-02
2.458311504886956420e+06 1.372130023795063636e+01 5.428681023790647014e-02
2.458311515513043385e+06 1.373648525135121368e+01 5.428681023790648402e-02
2.458311526139130350e+06 1.375145858932623177e+01 5.428681023790647014e-02
2.458311536765217315e+06 1.376622584969436502e+01 5.428681023790647014e-02
2.458311547391304281e+06 1.378079241581852799e+01 5.428681023790647014e-02
2.458311558017391246e+06 1.379516346714432729e+01 5.428681023790647014e-02
2.458311568643478211e+06 1.380934398911863070e+01 5.428681023790647014e-02
2.458311579269564711e+06 1.382333878192050136e+01 5.428681023790647014e-02
2.458311589895651676e+06 1.383715247170659879e+01 5.428681023790647014e-02
2.458311600521738641e+06 1.385078951522811153e+01 5.428681023790647014e-02
2.458311611147825606e+06 1.386425421011716352e+01 5.428681023790647014e-02
2.458311621773912571e+06 1.387755070165460936e+01 5.428681023790647014e-02
2.458311632399999537e+06 1.389068298974339655e+01 5.428681023790647014e-02
2.458311643026086502e+06 1.390365493549661302e+01 5.428681023790647014e-02
2.458311653652173467e+06 1.391647026746480265e+01 5.428681023790647014e-02
2.458311664278260432e+06 1.392913258752535732e+01 5.428681023790647014e-02
2.458311674904347397e+06 1.394164537645520241e+01 5.428681023790647014e-02
2.458311685530434363e+06 1.395401199920648949e+01 5.428681023790648402e-02
2.458311696156521328e+06 1.396623570990363739e+01 5.428681023790647014e-02
2.458311706782608293e+06 1.397831965657883657e+01 5.428681023790647014e-02
2.458311717408695258e+06 1.399026688566185683e+01 5.428681023790647014e-02
2.458311728034782223e+06 1.400208034623902442e+01 5.428681023790647014e-02
2.458311738660869189e+06 1.401376289409515508e+01 5.428681023790647014e-02
2.458311749286956154e+06 1.402531729555132145e+01 5.428681023790647014e-02
2.458311759913043119e+06 1.403674623111048803e+01 5.428681023790647014e-02
2.458311770539130084e+06 1.404805229892220453e+01 5.428681023790647014e-02
2.458311781165217049e+06 1.405923801807685969e+01 5.428681023790647014e-02
2.458311791791304015e+06 1.407030583173928306e+01 5.428681023790647014e-02
2.458311802417390980e+06 1.408125811013082185e+01 5.428681023790647014e-02
2.458311813043477945e+06 1.409209715336851154e+01 5.428681023790647014e-02
2.458311823669564910e+06 1.410282519416929325e+01 5.428681023790647014e-02
2.458311834295651875e+06 1.411344440042683068e+01 5.428681023790647014e-02
2.458311844921738841e+06 1.412395687766793095e+01 5.428681023790647014e-02
2.458311855547825806e+06 1.413436467139517028e+01 5.428681023790647014e-02
2.458311866173912771e+06 1.414466976932189546e+01 5.428681023790647014e-02
2.458311876799999736e+06 1.415487410350541353e+01 5.428681023790647014e-02
2.458311887426086701e+06 1.416497955238379802e+01 5.428681023790647014e-02
2.458311898052173667e+06 1.417498794272142781e+01 5.428681023790647014e-02
2.458311908678260632e+06 1.418490105146807068e+01 5.428681023790647014e-02
2.458311919304347597e+06 1.419472060753600573e+01 5.428681023790647014e-02
2.458311929930434562e+06 1.420444829349944449e+01 5.428681023790647014e-02
